"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"11","1973 - Attack, grooming, and threat elicited by stimulation of the pontine tegmentum in cats","G. G. Berntson",1973,"Attack, grooming, and threat elicited by stimulation of the pontine tegmentum in cats","Physiology and Behavior","11","1","81-87","10.1016/0031-9384(73)90126-1",NA,15116
"12","1973 - Behavioral effects of autocerebral perfusion, hypothermia and arrest of cerebral blood flow in the rhesus monkey","L. R. Wolin, L. C. Massopust Jr and R. J. White",1973,"Behavioral effects of autocerebral perfusion, hypothermia and arrest of cerebral blood flow in the rhesus monkey","Experimental Neurology","39","2","336-341","10.1016/0014-4886(73)90235-5",NA,15117
"13","1973 - Depression of cerebral metabolism by stimulant doses of cocaine","K. J. Rogers and S. R. Nahorski",1973,"Depression of cerebral metabolism by stimulant doses of cocaine","Brain Research","57","1","255-258","10.1016/0006-8993(73)90588-X",NA,15122
"14","1973 - Effects of cholinergic brain injections on mouse killing or carrying by rats","D. J. Lonowski, R. A. Levitt and S. D. Larson",1973,"Effects of cholinergic brain injections on mouse killing or carrying by rats","Physiological Psychology","1","4","341-345",NA,NA,15124
"15","1973 - Histopathology and pathogenesis of behaviorally induced gastric lesions in rats","D. A. Kristt and S. J. Freimark",1973,"Histopathology and pathogenesis of behaviorally induced gastric lesions in rats","American Journal of Pathology","73","2","411-424",NA,NA,15126
"16","1973 - Olfactory cues and movement: Stimuli mediating intraspecific aggression in the wild norway rat","J. R. Alberts and B. G. Galef Jr",1973,"Olfactory cues and movement: Stimuli mediating intraspecific aggression in the wild norway rat","Journal of Comparative and Physiological Psychology","85","2","233-242",NA,NA,15127
"17","1973 - Teratology and reproduction studies with metiapine","J. P. Gibson and J. W. Newberne",1973,"Teratology and reproduction studies with metiapine","Toxicol Appl Pharmacol","25","2","212-9",NA,NA,15128
"18","1974 - Absence of behavioral modifications with prolonged cerebral ischemia under deep hypothermia","L. R. Wolin, R. J. White, L. C. Massopust Jr, J. C. Austin and P. E. Austin",1974,"Absence of behavioral modifications with prolonged cerebral ischemia under deep hypothermia","Surgical forum","25","0","453-455",NA,NA,15130
"19","1974 - Cerebral blood flow and arterial behaviour during the ischemic and early postischemic periods","G. I. McHedlishvili, L. S. Nikolaishvili and R. V. Antia",1974,"Cerebral blood flow and arterial behaviour during the ischemic and early postischemic periods","Neuropatologia polska","12","4","551-562",NA,NA,15132
"20","1974 - Effects of day 1 castration on aggressive behaviors of rats","R. Baenninger",1974,"Effects of day 1 castration on aggressive behaviors of rats","Bulletin of the Psychonomic Society","3","0.125","189-190",NA,NA,15134
"21","1974 - Effects of electrical stimulation of the medial aspect of the prefrontal cortex upon attack behavior in cats","A. Siegel, H. Edinger and H. Lowenthal",1974,"Effects of electrical stimulation of the medial aspect of the prefrontal cortex upon attack behavior in cats","Brain Research","66","3","467-479","10.1016/0006-8993(74)90061-4",NA,15135
"22","1974 - Fate of ferric hydroxide macroaggregates in the lungs of mice","J. Szymendera, O. Mioduszewska and I. Licinska",1974,"Fate of ferric hydroxide macroaggregates in the lungs of mice","Journal of Nuclear Medicine","15","1","17-21",NA,NA,15136
"23","1974 - Functional behavior of microvascular mechanisms controlling blood supply to cerebral cortex during ischemic and early postischemic periods","G. I. McHedlishvili and D. G. Baramidze",1974,"Functional behavior of microvascular mechanisms controlling blood supply to cerebral cortex during ischemic and early postischemic periods","Neuropatologia polska","12","4","537-550",NA,NA,15137
"24","1974 - Intraspecies attack and defense in rats: effects of amphetamine, chlordiazepoxide and alcohol","K. A. Miczek",1974,"Intraspecies attack and defense in rats: effects of amphetamine, chlordiazepoxide and alcohol","Federation Proceedings","33","3 I","1433",NA,NA,15138
"25","1974 - Recovery of emotional behavior after lesions of the septal area","J. Cytawa",1974,"Recovery of emotional behavior after lesions of the septal area","Acta Neurobiologiae Experimentalis","34","1","161-170",NA,NA,15142
"26","1974 - Secobarbital sodium (Seconal) attenuates attack behavior in male Siamese fighting fish","M. H. Figler and R. W. Bennett",1974,"Secobarbital sodium (Seconal) attenuates attack behavior in male Siamese fighting fish","Federation Proceedings","33","3 I","1439",NA,NA,15143
"27","1974 - Testosterone and behaviour during extinction in chicks","J. Archer",1974,"Testosterone and behaviour during extinction in chicks","Animal Behaviour","22","3","650-655","10.1016/S0003-3472(74)80012-6",NA,15145
"28","1975 - [Effect of salt loading in stroke-prone spontaneously hypertensive rats]","S. Sasagawa and Y. Yamori",1975,"[Effect of salt loading in stroke-prone spontaneously hypertensive rats]","Nihon Eiseigaku Zasshi","30","1","182",NA,NA,15160
"29","1975 - [Light microscopical, electron microscopical and clinical findings in orthotopic allogenic porcine liver homografts (author's transl)]","P. F. Mahnke, L. Cossel, R. Schwarzer and U. Otto",1975,"[Light microscopical, electron microscopical and clinical findings in orthotopic allogenic porcine liver homografts (author's transl)]","Zentralbl Allg Pathol","119","6","495-526",NA,NA,15170
"30","1975 - Barbiturate attenuation of the clinical course and pathologic lesions in a primate stroke model","J. I. Moseley, J. P. Laurent and G. F. Molinari",1975,"Barbiturate attenuation of the clinical course and pathologic lesions in a primate stroke model","Neurology","25","9","870-874",NA,NA,15148
"31","1975 - Brief hypoxia-ischemia initially damages cerebral neurons","D. E. Levy, J. B. Brierley, D. G. Silverman and F. Plum",1975,"Brief hypoxia-ischemia initially damages cerebral neurons","Arch Neurol","32","7","450-6",NA,NA,15150
"32","1975 - Cardiovascular function during pre avoidance, avoidance, and post avoidance in dogs","J. E. Lawler, P. A. Obrist and K. A. Lawler",1975,"Cardiovascular function during pre avoidance, avoidance, and post avoidance in dogs","PSYCHOPHYSIOLOGY","12","1","43773","10.1111/j.1469-8986.1975.tb03051.x",NA,15151
"33","1975 - Changes of epidural pressures after experimental occlusion of one middle cerebral artery in cats","T. Hayakawa and A. G. Waltz",1975,"Changes of epidural pressures after experimental occlusion of one middle cerebral artery in cats","J Neurol Sci","26","3","319-33",NA,NA,15153
"34","1975 - Effects of electrical stimulation of the lateral aspect of the prefrontal cortex upon attack behavior in cats","A. Siegel, H. Edinger and M. Dotto",1975,"Effects of electrical stimulation of the lateral aspect of the prefrontal cortex upon attack behavior in cats","Brain Research","93","3","473-484","10.1016/0006-8993(75)90185-7",NA,15163
"35","1975 - Mandibular movements of the albino rat during feeding","W. A. Weijs",1975,"Mandibular movements of the albino rat during feeding","J Morphol","145","1","107-24","10.1002/jmor.1051450107",NA,15171
"36","1975 - Mescaline treated rats attack immobile targets","B. Carder and R. Sbordone",1975,"Mescaline treated rats attack immobile targets","Pharmacology Biochemistry and Behavior","3","5","923-925","10.1016/0091-3057(75)90129-X",NA,15172
"37","1975 - Midbrain hypothalamic interrelationships in the control of aggressive behavior","E. Proshansky and R. J. Bandler Jr",1975,"Midbrain hypothalamic interrelationships in the control of aggressive behavior","AGGRESS.BEHAV.","1","2","135-155",NA,NA,15173
"38","1975 - Mouse killing in the rat: effects of sensory deficits on attack behaviour and stereotyped biting","S. E. Gregoire and D. E. Smith",1975,"Mouse killing in the rat: effects of sensory deficits on attack behaviour and stereotyped biting","Animal Behaviour","23","1","186-191",NA,NA,15174
"39","1975 - Proceedings: Quantitative analysis on the behavior of spontaneously hypertensive rats (SHR) and stroke-prone SHR","S. Sasagawa and Y. Yamori",1975,"Proceedings: Quantitative analysis on the behavior of spontaneously hypertensive rats (SHR) and stroke-prone SHR","Japanese heart journal","16","3","313-315",NA,NA,15177
"40","1975 - Resuscitation of the monkey brain after one hour complete ischemia. III. Indications of metabolic recovery","P. Kleihues, K. A. Hossmann, A. E. Pegg, K. Kobayashi and V. Zimmermann",1975,"Resuscitation of the monkey brain after one hour complete ischemia. III. Indications of metabolic recovery","Brain Res","95","1","61-73",NA,NA,15179
"41","1975 - Rotational behavior in gerbils following unilateral common carotid artery ligation","M. Lavyne, M. Moskowitz, N. Zervas and R. Wurtman",1975,"Rotational behavior in gerbils following unilateral common carotid artery ligation","Journal of Neural Transmission - General Section","36","2","83-89",NA,NA,15181
"42","1975 - The behavioral bases of prolonged suppression of predatory attack in cats","R. Adamec",1975,"The behavioral bases of prolonged suppression of predatory attack in cats","AGGRESS.BEHAV.","1","4","297-314",NA,NA,15149
"43","1975 - The effects of an antimetastatic agent, (plus or minus)-1,2-bis(3,5-dioxopiperazin-1-yl)propane (ICRF 159), on platelet behavior","A. Atherton, D. Busfield and K. Hellman",1975,"The effects of an antimetastatic agent, (plus or minus)-1,2-bis(3,5-dioxopiperazin-1-yl)propane (ICRF 159), on platelet behavior","Cancer Res","35","4","953-7",NA,NA,15161
"44","1975 - The effects of cosmic particle radiation on pocket mice aboard Apollo XVII: VI. launch, flight, and recovery","B. C. Look, J. W. Tremor, W. F. Barrows, H. R. Zabower, D. L. Winter, G. H. Shillinger, C. A. Harrison, D. E. Philpott, K. Suri, W. T. Platt, W. W. Ashley, W. Haymaker, R. G. Lindberg, R. C. Simmonds, M. Heflin, J. R. Larey, A. R. Behnke, Jr., W. Zeman, T. Samorajski, F. S. Vogel, D. Leaffer and P. F. Beales",1975,"The effects of cosmic particle radiation on pocket mice aboard Apollo XVII: VI. launch, flight, and recovery","Aviat Space Environ Med","46","4 Sec 2","529-36",NA,NA,15162
"45","1975 - The role of cortical orientation in the control of the direction of ciliary beat in Paramecium","S. L. Tamm, T. M. Sonneborn and R. V. Dippell",1975,"The role of cortical orientation in the control of the direction of ciliary beat in Paramecium","J Cell Biol","64","1","98-112",NA,"PMC2109467",15180
"46","1976 - Brain energetics and circulatory control after subarachnoid hemorrhage","J. M. Fein",1976,"Brain energetics and circulatory control after subarachnoid hemorrhage","J Neurosurg","45","5","498-507","10.3171/jns.1976.45.5.0498",NA,15182
"47","1976 - Brain energy metabolism of the conscious rat exposed to various physiological and pathological situations","A. Mayevsky",1976,"Brain energy metabolism of the conscious rat exposed to various physiological and pathological situations","Brain Res","113","2","327-38",NA,NA,15183
"48","1976 - Cardiac function and metabolism following hemorrhage in the newborn lamb","S. E. Downing and J. C. Lee",1976,"Cardiac function and metabolism following hemorrhage in the newborn lamb","Ann Surg","184","6","743-51",NA,"PMC1345419",15184
"49","1976 - Effects of nicotinic and muscarinic compounds on biting attack in the cat","G. G. Berntson, M. S. Beattie and J. M. Walker",1976,"Effects of nicotinic and muscarinic compounds on biting attack in the cat","Pharmacology Biochemistry and Behavior","5","3","235-239",NA,NA,15187
"50","1976 - Experimental cerebral ischemia in Mongolian gerbils III. Behaviour of the blood-brain barrier","U. Ito, K. G. Go, J. T. Walker, Jr., M. Spatz and I. Klatzo",1976,"Experimental cerebral ischemia in Mongolian gerbils III. Behaviour of the blood-brain barrier","Acta Neuropathol","34","1","43617",NA,NA,15188
"51","1976 - Experimental cerebral ischemia in Mongolian gerbils. III. Behaviour of the blood brain barrier","U. Ito, K. G. Go and J. T. Walker Jr",1976,"Experimental cerebral ischemia in Mongolian gerbils. III. Behaviour of the blood brain barrier","Acta Neuropathologica","34","1","43617","10.1007/BF00684938",NA,15189
"52","1976 - Experimental cerebral ischemia in Mongolian gerbils. IV. Behaviour of biogenic amines","B. B. Mrsulja, B. J. Mrsulja, M. Spatz, U. Ito, J. T. Walker, Jr. and I. Klatzo",1976,"Experimental cerebral ischemia in Mongolian gerbils. IV. Behaviour of biogenic amines","Acta Neuropathol","36","1","43678",NA,NA,15190
"53","1976 - Hypothalamic and extrahypothalamic substrates of predatory attack. Suppression and the influence of hunger","R. E. Adamec",1976,"Hypothalamic and extrahypothalamic substrates of predatory attack. Suppression and the influence of hunger","Brain Research","106","1","57-69","10.1016/0006-8993(76)90073-1",NA,15195
"54","1976 - Origin of brain growth retardation in young rats treated with phenobarbital","R. J. Schain and K. Watanabe",1976,"Origin of brain growth retardation in young rats treated with phenobarbital","Experimental Neurology","50","3","806-809","10.1016/0014-4886(76)90046-7",NA,15199
"55","1976 - Physiopathogenesis of subdural hematomas. Part 1: Histological and biochemical comparisons of subcutaneous hematoma in rats with subdural hematoma in man","E. L. Labadie and D. Glover",1976,"Physiopathogenesis of subdural hematomas. Part 1: Histological and biochemical comparisons of subcutaneous hematoma in rats with subdural hematoma in man","J Neurosurg","45","4","382-92","10.3171/jns.1976.45.4.0382",NA,15203
"56","1976 - Pyridine nucleotide redox state and blood flow of the cerebral cortex following middle cerebral artery occlusion in the cat","M. D. Ginsberg, M. Reivich, S. Frinak and K. Harbig",1976,"Pyridine nucleotide redox state and blood flow of the cerebral cortex following middle cerebral artery occlusion in the cat","Stroke","7","2","125-131",NA,NA,15204
"57","1977 - Acute and subacute intravenous toxicity of hashish oil in monkeys","Y. K. Luthra, H. Rosenkrantz, R. W. Fleischman and M. C. Braude",1977,"Acute and subacute intravenous toxicity of hashish oil in monkeys","Toxicology and Applied Pharmacology","41","1","133",NA,NA,15205
"58","1977 - Amphetamine induced turning behavior as an index of stroke in the Mongolian gerbil","R. L. Williams, J. M. Beaton, G. V. Pegram, N. Capra, J. H. Halsey and R. J. Bradley",1977,"Amphetamine induced turning behavior as an index of stroke in the Mongolian gerbil","Experientia","33","5","626-7",NA,NA,15206
"59","1977 - Attack and defensive behaviour in the albino rat","R. J. Blanchard, D. C. Blanchard, T. Takahashi and M. J. Kelley",1977,"Attack and defensive behaviour in the albino rat","Animal Behaviour","25","3","622-634",NA,NA,15207
"60","1977 - Biomechanics of water-pumping by Chaetopterus variopedatus Renier: Kinetics and hydrodynamics","S. C. Brown",1977,"Biomechanics of water-pumping by Chaetopterus variopedatus Renier: Kinetics and hydrodynamics","The Biological bulletin","153","1","121-132",NA,NA,15209
"61","1977 - Conditioned taste aversion: a field application to coyote predation on sheep","S. R. Ellins, S. M. Catalano and S. A. Schechinger",1977,"Conditioned taste aversion: a field application to coyote predation on sheep","Behavioral Biology","20","1","91-95",NA,NA,15214
"62","1977 - Critical cerebral blood flow for production of hemiparesis after unilateral carotid occlusion in the gerbil","K. Nakai, K. M. A. Welch and J. S. Meyer",1977,"Critical cerebral blood flow for production of hemiparesis after unilateral carotid occlusion in the gerbil","Journal of Neurology Neurosurgery and Psychiatry","40","6","595-599",NA,NA,15216
"63","1977 - Debilitating interaction of adrenalectomy and intrahypothalamic implants of prostaglandin E2 upon open-field activity levels and sexual receptivity in estrogen-primed ovariectomized rats","N. R. Hall and W. G. Luttge",1977,"Debilitating interaction of adrenalectomy and intrahypothalamic implants of prostaglandin E2 upon open-field activity levels and sexual receptivity in estrogen-primed ovariectomized rats","Pharmacol Biochem Behav","6","6","677-81",NA,NA,15217
"64","1977 - Effects of intracranial dopamine perfusion: behavioural arousal and reversal of cerebral arterial spasm following surgery for clipping of ruptured cerebral aneurysms","D. J. Boullin, C. B. Adams, J. Mohan, A. R. Green, T. M. Hunt, G. H. du Boulay and A. T. Rogers",1977,"Effects of intracranial dopamine perfusion: behavioural arousal and reversal of cerebral arterial spasm following surgery for clipping of ruptured cerebral aneurysms","Proceedings of the Royal Society of Medicine","70 Suppl 2",NA,"55-70",NA,NA,15220
"65","1977 - Experimental subarachnoid hemorrhage from a middle cerebral artery. Neurologic deficits, intracranial pressures, blood pressures, and pulse rates","T. Hayakawa and A. G. Waltz",1977,"Experimental subarachnoid hemorrhage from a middle cerebral artery. Neurologic deficits, intracranial pressures, blood pressures, and pulse rates","Stroke","8","4","421-6",NA,NA,15224
"66","1977 - Localization of the brain regions concerned in the inhibition of shivering by trauma","H. B. Stoner and H. W. Marshall",1977,"Localization of the brain regions concerned in the inhibition of shivering by trauma","Br J Exp Pathol","58","1","50-6",NA,"PMC2041193",15228
"67","1977 - Suppression of attack behavior in the cat by the prefrontal cortex: role of the mediodorsal thalamic nucleus","A. Siegel, H. Edinger and A. Koo",1977,"Suppression of attack behavior in the cat by the prefrontal cortex: role of the mediodorsal thalamic nucleus","Brain Research","127","1","185-190","10.1016/0006-8993(77)90392-4",NA,15231
"68","1977 - The development of intruder attack in colonies of laboratory rats","R. J. Blanchard, L. K. Takahashi and D. C. Blanchard",1977,"The development of intruder attack in colonies of laboratory rats","Animal Learning and Behavior","5","4","365-369",NA,NA,15218
"69","1977 - The role of catecholamine in the effects of trauma on thermoregulation, studied in rats treated with 6-hydroxydopamine","H. B. Stoner",1977,"The role of catecholamine in the effects of trauma on thermoregulation, studied in rats treated with 6-hydroxydopamine","Br J Exp Pathol","58","1","42-9",NA,"PMC2041186",15230
"70","1978 - [Ischemic brain edema in gerbils-sequential changes in chemical parameters in relation to the behavior of the blood-brain barrier (author's transl)]","S. Yoshida",1978,"[Ischemic brain edema in gerbils-sequential changes in chemical parameters in relation to the behavior of the blood-brain barrier (author's transl)]","No To Shinkei","30","4","415-23",NA,NA,15249
"71","1978 - [The combination of etomidate and fentanyl as a short acting and introduction anaesthesia in the dog in experimental medicine (author's transl)]","W. Erhardt, G. Neumann, U. Pfeiffer, M. Birk and G. Blumel",1978,"[The combination of etomidate and fentanyl as a short acting and introduction anaesthesia in the dog in experimental medicine (author's transl)]","Anaesthesist","27","5","228-33",NA,NA,15237
"72","1978 - Action of cytidine diphosphocholine on functional and hemodynamic effects of cerebral ischemia in cats","F. Boismare, M. Le Poncin, J. Lefrancois and J. C. Lecordier",1978,"Action of cytidine diphosphocholine on functional and hemodynamic effects of cerebral ischemia in cats","Pharmacology","17","1","15-20","10.1159/000136830",NA,15232
"73","1978 - Brain energy metabolism and catecholaminergic activity in hypoxia, hypercapnia and ischemia","B. K. Siesjo",1978,"Brain energy metabolism and catecholaminergic activity in hypoxia, hypercapnia and ischemia","J Neural Transm Suppl",NA,"14","17-22",NA,NA,15234
"74","1978 - Centrally elicited attack behavior in cats: Post-stimulus excitability and midbrain-hypothalamic inter-relationships","R. Bandler and D. Fatouris",1978,"Centrally elicited attack behavior in cats: Post-stimulus excitability and midbrain-hypothalamic inter-relationships","Brain Research","153","2","427-433","10.1016/0006-8993(78)90428-6",NA,15235
"75","1978 - Cerebral energy state during or after hypoxia and complete or incomplete ischemia","G. Benzi, E. Arrigoni and F. Dagani",1978,"Cerebral energy state during or after hypoxia and complete or incomplete ischemia","Journal of Applied Physiology Respiratory Environmental and Exercise Physiology","45","2","312-319",NA,NA,15236
"76","1978 - Dose dependent reduction of glucose utilization by pentobarbital in rat brain","P. D. Crane, L. D. Braun, E. M. Cornford, J. E. Cremer, J. M. Glass and W. H. Oldendorf",1978,"Dose dependent reduction of glucose utilization by pentobarbital in rat brain","Stroke","9","1","43689",NA,NA,15238
"77","1978 - Drug action on cerebral energy state during and after various hypoxic conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1978 - Effect of (-)eburnamonine, papaverine and UDP-glucose on cerebral energy state during and after experimental hypoxia and ischaemia in beagle dogs","R. F. Villa, P. Strada, F. Marzatico and F. Dagani",1978,"Effect of (-)eburnamonine, papaverine and UDP-glucose on cerebral energy state during and after experimental hypoxia and ischaemia in beagle dogs","European Neurology","17","1 SUPPL.","97-112",NA,NA,15241
"79","1978 - Effects of steroidal hormones on sexual, attack, and search behavior in the isolated male chick","C. E. Young and L. J. Rogers",1978,"Effects of steroidal hormones on sexual, attack, and search behavior in the isolated male chick","Hormones and Behavior","10","2","107-117",NA,NA,15243
"80","1978 - Î”9-Tetrahydrocannabinol: Antiaggressive effects in mice, rats, and squirrel monkeys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1978 - Intracerebral migration of Cuterebra larva in a kitten","B. E. McKenzie, D. I. Lyles and J. A. Clinkscales",1978,"Intracerebral migration of Cuterebra larva in a kitten","J Am Vet Med Assoc","172","2","173-5",NA,NA,15248
"82","1978 - On the control of microcirculation in the cerebral cortex during and following ischemia","G. I. McHedlishvili, D. G. Baramidze, L. S. Nikolaishvili, R. V. Antia and Z. T. Gordeladze",1978,"On the control of microcirculation in the cerebral cortex during and following ischemia","Biochem Exp Biol","14","4","285-97",NA,NA,15251
"83","1978 - Protective effect of a novel imidazole derivative against cerebral anoxia","H. Yasuda, S. Shuto, T. Tsumagari and A. Nakajima",1978,"Protective effect of a novel imidazole derivative against cerebral anoxia","Arch Int Pharmacodyn Ther","233","1","136-44",NA,NA,15253
"84","1978 - The pathogenesis of lead encephalopathy in the rat pup: Effects of maternal PbCO3 feedings from birth","D. Holtzman, J. Shen Hsu and P. Mortell",1978,"The pathogenesis of lead encephalopathy in the rat pup: Effects of maternal PbCO3 feedings from birth","Pediatric Research","12","11","1077-1082",NA,NA,15252
"85","1978 - Tissular lipids during experimental hemorrhagic shock","V. Cangemi, P. T. Cimmino and O. Giardini",1978,"Tissular lipids during experimental hemorrhagic shock","Policlinico - Sezione Chirurgica","85","3","633-640",NA,NA,15255
"86","1979 - Attack and defensive behaviors in the albino mouse","R. J. Blanchard, V. O'Donnell and D. C. Blanchard",1979,"Attack and defensive behaviors in the albino mouse","Aggressive Behavior","5","4","341-352",NA,NA,15260
"87","1979 - Behavioral arousal induced by apomorphine and N-n-propylnorapomorphine in mice: antagonism by neurotransmitter receptor blockers","R. E. Wilcox, W. H. Riffee and R. V. Smith",1979,"Behavioral arousal induced by apomorphine and N-n-propylnorapomorphine in mice: antagonism by neurotransmitter receptor blockers","Federation Proceedings","38","3 I","No.3315",NA,NA,15261
"88","1979 - Effect of diet viscosity on the operation of the pharyngeal pump in the blood-feeding bug Rhodnius prolixus","J. J. Smith",1979,"Effect of diet viscosity on the operation of the pharyngeal pump in the blood-feeding bug Rhodnius prolixus","J Exp Biol","82",NA,"93-104",NA,NA,15267
"89","1979 - Effect of nonsteroid anti-inflammatory drugs on subarachnoid hemorrhage in dogs","R. P. White, A. A. Hagen and J. T. Robertson",1979,"Effect of nonsteroid anti-inflammatory drugs on subarachnoid hemorrhage in dogs","Journal of Neurosurgery","51","2","164-171",NA,NA,15269
"90","1979 - Effects of graded reduction of brain blood flow on chemical control of breathing","R. W. Chapman, T. V. Santiago and N. H. Edelman",1979,"Effects of graded reduction of brain blood flow on chemical control of breathing","J Appl Physiol Respir Environ Exerc Physiol","47","6","1289-94","10.1152/jappl.1979.47.6.1289",NA,15271
"91","1979 - Effects of prior shock and scopolamine on aggressive behavior and blood glucose levels in the rat","J. Pritchett, B. T. Cole and D. A. Powell",1979,"Effects of prior shock and scopolamine on aggressive behavior and blood glucose levels in the rat","Behavioral and Neural Biology","25","2","176-189","10.1016/S0163-1047(79)90532-6",NA,15272
"92","1979 - Effects of sympathetic nerves on cerebral blood flow in awake dogs","M. L. Marcus and D. D. Heistad",1979,"Effects of sympathetic nerves on cerebral blood flow in awake dogs","Am J Physiol","236","4","H549-53","10.1152/ajpheart.1979.236.4.H549",NA,15273
"93","1979 - Fluorescence mapping of mitochondrial redox changes in heart and brain","C. H. Barlow, W. R. Harden, 3rd, A. H. Harken, M. B. Simson, J. C. Haselgrove, B. Chance, M. O'Connor and G. Austin",1979,"Fluorescence mapping of mitochondrial redox changes in heart and brain","Crit Care Med","7","9","402-6",NA,NA,15275
"94","1979 - Influence of chlormethiazole on cerebral blood flow and oxygen consumption in the rat, and its effect on the recovery of cortical energy metabolism after pronounced, incomplete ischaemia","C. Carlsson and S. Rehncrona",1979,"Influence of chlormethiazole on cerebral blood flow and oxygen consumption in the rat, and its effect on the recovery of cortical energy metabolism after pronounced, incomplete ischaemia","Acta Anaesthesiol Scand","23","3","259-66",NA,NA,15277
"95","1979 - Ischemia-induced alterations in oxidative ""recovery"" metabolism after spreading cortical depression in situ","M. Rosenthal and D. L. Martel",1979,"Ischemia-induced alterations in oxidative ""recovery"" metabolism after spreading cortical depression in situ","Exp Neurol","63","2","367-78",NA,NA,15278
"96","1979 - Lateralization of catecholaminergic and behavioral response to cerebral infarction in the rat","R. G. Robinson and J. T. Coyle",1979,"Lateralization of catecholaminergic and behavioral response to cerebral infarction in the rat","Life Sciences","24","10","943-950","10.1016/0024-3205(79)90345-X",NA,15279
"97","1979 - No barbiturate protection in a dog model of complete cerebral ischemia","P. A. Steen, J. H. Milde and J. D. Michenfelder",1979,"No barbiturate protection in a dog model of complete cerebral ischemia","Ann Neurol","5","4","343-9","10.1002/ana.410050407",NA,15282
"98","1979 - Patterns of behavioral development in spontaneously hypertensive rats and Wistar-Kyoto normotensive controls","R. McCarty and I. J. Kopin",1979,"Patterns of behavioral development in spontaneously hypertensive rats and Wistar-Kyoto normotensive controls","Developmental Psychobiology","12","3","239-243",NA,NA,15285
"99","1979 - Suppression of predatory behaviors in laboratory mice following lithium chloride injections or electric shock","C. S. Klunder and M. O'Boyle",1979,"Suppression of predatory behaviors in laboratory mice following lithium chloride injections or electric shock","Animal Learning and Behavior","7","1","13-16",NA,NA,15289
